Date,Problem Number,Problem Name,Problem Rating,Problem Link,Contest Name,Tags
"March 11, 2025",3482,Analyze Organization Hierarchy,2613,https://leetcode.com/problems/analyze-organization-hierarchy/,,database
"Feb. 15, 2025",3454,Separate Squares II,2614,https://leetcode.com/problems/separate-squares-ii/,Biweekly Contest 150,"array, binary search, line sweep, segment tree"
"Feb. 13, 2025",3451,Find Invalid IP Addresses,2603,https://leetcode.com/problems/find-invalid-ip-addresses/,,database
"Jan. 19, 2025",3430,Maximum and Minimum Sums of …at Most Size K Subarrays,2659,https://leetcode.com/problems/maximum-and-minimum-sums-of-at-most-size-k-subarrays/,Weekly Contest 433,"array, math, monotonic stack, stack"
"Jan. 12, 2025",3416,Subsequences with a Unique Middle Mode II,2616,https://leetcode.com/problems/subsequences-with-a-unique-middle-mode-ii/,,"array, combinatorics, hash table, math"
"Dec. 17, 2024",3390,Longest Team Pass Streak,2624,https://leetcode.com/problems/longest-team-pass-streak/,,database
"Dec. 8, 2024",3384,Team Dominance by Pass Success,2688,https://leetcode.com/problems/team-dominance-by-pass-success/,,database
"Dec. 8, 2024",3383,Minimum Runes to Add to Cast Spell,2620,https://leetcode.com/problems/minimum-runes-to-add-to-cast-spell/,,"array, breadth-first search, depth-first search, graph, topological sort, union find"
"Dec. 2, 2024",3374,First Letter Capitalization II,2604,https://leetcode.com/problems/first-letter-capitalization-ii/,,database
"Nov. 30, 2024",3369,Design an Array Statistics Tracker,2647,https://leetcode.com/problems/design-an-array-statistics-tracker/,,"binary search, data stream, design, hash table, heap (priority queue), ordered set, queue"
"Nov. 25, 2024",3368,First Letter Capitalization,2626,https://leetcode.com/problems/first-letter-capitalization/,,database
"Nov. 24, 2024",3367,Maximize Sum of Weights after Edge Removals,2626,https://leetcode.com/problems/maximize-sum-of-weights-after-edge-removals/,Weekly Contest 425,
"Nov. 3, 2024",3343,Count Number of Balanced Permutations,2627,https://leetcode.com/problems/count-number-of-balanced-permutations/,Weekly Contest 422,"combinatorics, dynamic programming, math, string"
"Oct. 26, 2024",3333,Find the Original Typed String II,2634,https://leetcode.com/problems/find-the-original-typed-string-ii/,Biweekly Contest 142,"dynamic programming, prefix sum, string"
