Date,Problem Number,Problem Name,Problem Rating,Problem Link,Contest Name,Tags
"July 13, 2025",3615,Longest Palindromic Path in Graph,2421.0,https://leetcode.com/problems/longest-palindromic-path-in-graph/,Weekly Contest 458,"bit manipulation, dynamic programming, graph, string"
"July 5, 2025",3605,Minimum Stability Factor of Array,2418.0,https://leetcode.com/problems/minimum-stability-factor-of-array/,Biweekly Contest 160,"array, binary search, greedy, math, number theory, segment tree"
"June 8, 2025",3579,Minimum Steps to Convert String with Operations,2476.0,https://leetcode.com/problems/minimum-steps-to-convert-string-with-operations/,Weekly Contest 453,"dynamic programming, greedy, string"
"May 25, 2025",3563,Lexicographically Smallest Strin…g After Adjacent Removals,2488.0,https://leetcode.com/problems/lexicographically-smallest-string-after-adjacent-removals/,Weekly Contest 451,
"May 4, 2025",3538,Merge Operations for Minimum Travel Time,2460.0,https://leetcode.com/problems/merge-operations-for-minimum-travel-time/,Weekly Contest 448,
"April 20, 2025",3525,Find X Value of Array II,2487.0,https://leetcode.com/problems/find-x-value-of-array-ii/,Weekly Contest 446,
"March 30, 2025",3505,Minimum Operations to Make Elements …Within K Subarrays Equal,2482.0,https://leetcode.com/problems/minimum-operations-to-make-elements-within-k-subarrays-equal/,Weekly Contest 443,"array, dynamic programming, hash table, heap (priority queue), math, sliding window"
"March 29, 2025",3500,Minimum Cost to Divide Array Into Subarrays,2499.0,https://leetcode.com/problems/minimum-cost-to-divide-array-into-subarrays/,Biweekly Contest 153,
today,3490,Count Beautiful Numbers,2446.0,https://leetcode.com/problems/count-beautiful-numbers/,Weekly Contest 441,
"March 1, 2025",3470,Permutations IV,2496.0,https://leetcode.com/problems/permutations-iv/,Biweekly Contest 151,"array, combinatorics, enumeration, math"
"Jan. 4, 2025",3409,Longest Subsequence With Decre…asing Adjacent Difference,2481.0,https://leetcode.com/problems/longest-subsequence-with-decreasing-adjacent-difference/,Biweekly Contest 147,"array, dynamic programming"
"Dec. 29, 2024",3404,Count Special Subsequences,2448.0,https://leetcode.com/problems/count-special-subsequences/,Weekly Contest 430,
"Dec. 7, 2024",3378,Count Connected Components in LCM Graph,2465.0,https://leetcode.com/problems/count-connected-components-in-lcm-graph/,Biweekly Contest 145,"array, hash table, math, number theory, union find"
"Nov. 23, 2024",3363,Find the Maximum Number of Fruits Collected,2405.0,https://leetcode.com/problems/find-the-maximum-number-of-fruits-collected/,Biweekly Contest 144,
"Nov. 23, 2024",3362,Zero Array Transformation III,2415.0,https://leetcode.com/problems/zero-array-transformation-iii/,Biweekly Contest 144,
"Nov. 10, 2024",3352,Count K-Reducible Numbers Less Than N,2482.0,https://leetcode.com/problems/count-k-reducible-numbers-less-than-n/,Weekly Contest 423,"combinatorics, dynamic programming, math, string"
"Oct. 27, 2024",3337,Total Characters in String …After Transformations II,2400.0,https://leetcode.com/problems/total-characters-in-string-after-transformations-ii/,Weekly Contest 421,"counting, dynamic programming, hash table, math, string"
"Oct. 20, 2024",3327,Check if DFS Strings Are Palindromes,2475.0,https://leetcode.com/problems/check-if-dfs-strings-are-palindromes/,Weekly Contest 420,"array, depth-first search, hash function, hash table, string, tree"
"Oct. 12, 2024",3317,Find the Number of Possible Ways for an Event,2402.0,https://leetcode.com/problems/find-the-number-of-possible-ways-for-an-event/,Biweekly Contest 141,"combinatorics, dynamic programming, math"
"Sept. 14, 2024",3288,Length of the Longest Increasing Path,2475.0,https://leetcode.com/problems/length-of-the-longest-increasing-path/,Biweekly Contest 139,"array, binary search, sorting"
"Sept. 8, 2024",3283,Maximum Number of Moves to Kill All Pawns,2488.0,https://leetcode.com/problems/maximum-number-of-moves-to-kill-all-pawns/,Weekly Contest 414,"array, bit manipulation, bitmask, breadth-first search, game theory, math"
"Sept. 1, 2024",3276,Select Cells in Grid With Maximum Score,2420.0,https://leetcode.com/problems/select-cells-in-grid-with-maximum-score/,Weekly Contest 413,"array, bit manipulation, bitmask, dynamic programming, matrix"
