Date,Problem Number,Problem Name,Problem Rating,Problem Link,Contest Name,Tags
"Sept. 13, 2025",3679,Minimum Discards to Balance Inventory,1578.0,https://leetcode.com/problems/minimum-discards-to-balance-inventory/,Biweekly Contest 165,
"July 20, 2025",3623,Count Number of Trapezoids I,1540.0,https://leetcode.com/problems/count-number-of-trapezoids-i/,Weekly Contest 459,
"July 5, 2025",3603,Minimum Cost Path with Alternating Directions II,1574.0,https://leetcode.com/problems/minimum-cost-path-with-alternating-directions-ii/,Biweekly Contest 160,"array, dynamic programming, matrix"
"June 29, 2025",3598,Longest Common Prefix Between Adjace…nt Strings After Removals,1562.0,https://leetcode.com/problems/longest-common-prefix-between-adjacent-strings-after-removals/,Weekly Contest 456,"array, string"
"March 23, 2025",3493,Properties Graph,1500.0,https://leetcode.com/problems/properties-graph/,Weekly Contest 442,"array, breadth-first search, depth-first search, graph, hash table, union find"
today,3488,Closest Equal Element Queries,1599.0,https://leetcode.com/problems/closest-equal-element-queries/,Weekly Contest 441,
"Dec. 22, 2024",3397,Maximum Number of Distinct …Elements After Operations,1596.0,https://leetcode.com/problems/maximum-number-of-distinct-elements-after-operations/,Weekly Contest 429,
"Dec. 21, 2024",3393,Count Paths With the Given XOR Value,1521.0,https://leetcode.com/problems/count-paths-with-the-given-xor-value/,Biweekly Contest 146,
"Dec. 1, 2024",3371,Identify the Largest Outlier in an Array,1573.0,https://leetcode.com/problems/identify-the-largest-outlier-in-an-array/,Weekly Contest 426,"array, counting, enumeration, hash table"
"Nov. 10, 2024",3350,Adjacent Increasing Subarrays Detection II,1521.0,https://leetcode.com/problems/adjacent-increasing-subarrays-detection-ii/,Weekly Contest 423,"array, binary search"
"Oct. 6, 2024",3310,Remove Methods From Project,1590.0,https://leetcode.com/problems/remove-methods-from-project/,Weekly Contest 418,"breadth-first search, depth-first search, graph"
"Sept. 14, 2024",3286,Find a Safe Walk Through a Grid,1592.0,https://leetcode.com/problems/find-a-safe-walk-through-a-grid/,Biweekly Contest 139,"array, breadth-first search, graph, heap (priority queue), matrix, shortest path"
"Aug. 17, 2024",3255,Find the Power of K-Size Subarrays II,1535.0,https://leetcode.com/problems/find-the-power-of-k-size-subarrays-ii/,Biweekly Contest 137,"array, sliding window"
