Date,Problem Number,Problem Name,Problem Rating,Problem Link,Contest Name,Tags
"April 13, 2025",3517,Smallest Palindromic Rearrangement I,1231,https://leetcode.com/problems/smallest-palindromic-rearrangement-i/,Weekly Contest 445,"counting sort, sorting, string"
"Jan. 30, 2025",3436,Find Valid Emails,1214,https://leetcode.com/problems/find-valid-emails/,,database
"Jan. 6, 2025",3415,Find Products with Three Consecutive Digits,1206,https://leetcode.com/problems/find-products-with-three-consecutive-digits/,,database
"Nov. 15, 2024",3353,Minimum Total Operations,1227,https://leetcode.com/problems/minimum-total-operations/,,array
"Aug. 3, 2024",3239,Minimum Number of Flips to Make …Binary Grid Palindromic I,1201,https://leetcode.com/problems/minimum-number-of-flips-to-make-binary-grid-palindromic-i/,Biweekly Contest 136,"array, matrix, two pointers"
"July 7, 2024",3211,Generate Binary Strings Without Adjacent Zeros,1230,https://leetcode.com/problems/generate-binary-strings-without-adjacent-zeros/,Weekly Contest 405,"bit manipulation, recursion, string"
"June 30, 2024",3198,Find Cities in Each State,1205,https://leetcode.com/problems/find-cities-in-each-state/,,database
"June 16, 2024",3185,Count Pairs That Form a Complete Day II,1288,https://leetcode.com/problems/count-pairs-that-form-a-complete-day-ii/,Weekly Contest 402,"array, counting, hash table"
"June 8, 2024",3172,Second Day Verification,1240,https://leetcode.com/problems/second-day-verification/,,database
"May 19, 2024",3150,Invalid Tweets II,1201,https://leetcode.com/problems/invalid-tweets-ii/,,database
"April 21, 2024",3121,Count the Number of Special Characters II,1286,https://leetcode.com/problems/count-the-number-of-special-characters-ii/,Weekly Contest 394,"hash table, string"
"March 31, 2024",3100,Water Bottles II,1279,https://leetcode.com/problems/water-bottles-ii/,Weekly Contest 391,"math, simulation"
"March 2, 2024",3059,Find All Unique Email Domains,1264,https://leetcode.com/problems/find-all-unique-email-domains/,,database
"Feb. 11, 2024",3034,Number of Subarrays That Match a Pattern I,1265,https://leetcode.com/problems/number-of-subarrays-that-match-a-pattern-i/,Weekly Contest 384,"array, hash function, rolling hash, string matching"
"Jan. 6, 2024",2990,Loan Types,1265,https://leetcode.com/problems/loan-types/,,database
"Jan. 6, 2024",2987,Find Expensive Cities,1233,https://leetcode.com/problems/find-expensive-cities/,,database
"Jan. 6, 2024",2985,Calculate Compressed Mean,1228,https://leetcode.com/problems/calculate-compressed-mean/,,database
"Dec. 23, 2023",2971,Find Polygon With the Largest Perimeter,1243,https://leetcode.com/problems/find-polygon-with-the-largest-perimeter/,Biweekly Contest 120,"array, greedy, prefix sum, sorting"
"Dec. 17, 2023",2966,Divide Array Into Arrays With Max Difference,1238,https://leetcode.com/problems/divide-array-into-arrays-with-max-difference/,Weekly Contest 376,"array, greedy, sorting"
"Nov. 26, 2023",2947,Count Beautiful Substrings I,1237,https://leetcode.com/problems/count-beautiful-substrings-i/,Weekly Contest 373,"enumeration, hash table, math, number theory, prefix sum, string"
"Nov. 19, 2023",2938,Separate Black and White Balls,1215,https://leetcode.com/problems/separate-black-and-white-balls/,Weekly Contest 372,"greedy, string, two pointers"
"Oct. 14, 2023",2900,Longest Unequal Adjacent Groups Subsequence I,1261,https://leetcode.com/problems/longest-unequal-adjacent-groups-subsequence-i/,Biweekly Contest 115,"array, dynamic programming, greedy, string"
"Oct. 8, 2023",2895,Minimum Processing Time,1256,https://leetcode.com/problems/minimum-processing-time/,Weekly Contest 366,"array, greedy, sorting"
"Sept. 30, 2023",2870,Minimum Number of Operations to Make Array Empty,1226,https://leetcode.com/problems/minimum-number-of-operations-to-make-array-empty/,Biweekly Contest 114,"array, counting, greedy, hash table"
"Aug. 27, 2023",2834,Find the Minimum Possible Sum of a Beautiful Array,1222,https://leetcode.com/problems/find-the-minimum-possible-sum-of-a-beautiful-array/,Weekly Contest 360,"greedy, math"
"Aug. 20, 2023",2829,Determine the Minimum Sum of a k-avoiding Array,1200,https://leetcode.com/problems/determine-the-minimum-sum-of-a-k-avoiding-array/,Weekly Contest 359,"greedy, math"
"Aug. 19, 2023",2822,Inversion of Object,1251,https://leetcode.com/problems/inversion-of-object/,,javascript
"Aug. 13, 2023",2816,Double a Number Represented as a Linked List,1210,https://leetcode.com/problems/double-a-number-represented-as-a-linked-list/,Weekly Contest 358,"linked list, math, stack"
"Aug. 5, 2023",2804,Array Prototype ForEach,1211,https://leetcode.com/problems/array-prototype-foreach/,,javascript
"July 22, 2023",2784,Check if Array is Good,1243,https://leetcode.com/problems/check-if-array-is-good/,Biweekly Contest 109,"array, hash table, sorting"
"July 8, 2023",2766,Relocate Marbles,1264,https://leetcode.com/problems/relocate-marbles/,Biweekly Contest 108,"array, hash table, simulation, sorting"
"July 2, 2023",2760,Longest Even Odd Subarray With Threshold,1212,https://leetcode.com/problems/longest-even-odd-subarray-with-threshold/,Weekly Contest 352,"array, sliding window"
"June 10, 2023",2728,Count Houses in a Circular Street,1216,https://leetcode.com/problems/count-houses-in-a-circular-street/,,"array, interactive"
"May 27, 2023",2705,Compact Object,1225,https://leetcode.com/problems/compact-object/,,javascript
"May 21, 2023",2690,Infinite Method Object,1213,https://leetcode.com/problems/infinite-method-object/,,javascript
"May 21, 2023",2689,Extract Kth Character From The Rope Tree,1222,https://leetcode.com/problems/extract-kth-character-from-the-rope-tree/,,"binary tree, depth-first search, tree"
"April 15, 2023",2625,Flatten Deeply Nested Array,1288,https://leetcode.com/problems/flatten-deeply-nested-array/,,javascript
"April 1, 2023",2606,Find the Substring With Maximum Cost,1294,https://leetcode.com/problems/find-the-substring-with-maximum-cost/,Biweekly Contest 101,"array, dynamic programming, hash table, string"
"March 12, 2023",2587,Rearrange Array to Maximize Prefix Score,1207,https://leetcode.com/problems/rearrange-array-to-maximize-prefix-score/,Weekly Contest 336,"array, greedy, prefix sum, sorting"
"March 5, 2023",2583,Kth Largest Sum in a Binary Tree,1214,https://leetcode.com/problems/kth-largest-sum-in-a-binary-tree/,Weekly Contest 335,"binary tree, breadth-first search, sorting, tree"
"Jan. 8, 2023",2530,Maximal Score After Applying K Operations,1272,https://leetcode.com/problems/maximal-score-after-applying-k-operations/,Weekly Contest 327,"array, greedy, heap (priority queue)"
"Jan. 1, 2023",2521,Distinct Prime Factors of Product of Array,1235,https://leetcode.com/problems/distinct-prime-factors-of-product-of-array/,Weekly Contest 326,"array, hash table, math, number theory"
"Nov. 27, 2022",2486,Append Characters to String to Make Subsequence,1225,https://leetcode.com/problems/append-characters-to-string-to-make-subsequence/,Weekly Contest 321,"greedy, string, two pointers"
"Oct. 29, 2022",2452,Words Within Two Edits of Dictionary,1234,https://leetcode.com/problems/words-within-two-edits-of-dictionary/,Biweekly Contest 90,"array, string"
