Date,Problem Number,Problem Name,Problem Rating,Problem Link,Contest Name,Tags
"April 6, 2025",3507,Minimum Pair Removal to Sort Array I,685,https://leetcode.com/problems/minimum-pair-removal-to-sort-array-i/,Weekly Contest 444,
"March 30, 2025",3502,Minimum Cost to Reach Every Position,694,https://leetcode.com/problems/minimum-cost-to-reach-every-position/,Weekly Contest 443,array
"March 1, 2025",3467,Transform Array by Parity,640,https://leetcode.com/problems/transform-array-by-parity/,Biweekly Contest 151,"array, counting, sorting"
"Feb. 23, 2025",3461,Check If Digits Are Equal in …String After Operations I,656,https://leetcode.com/problems/check-if-digits-are-equal-in-string-after-operations-i/,Weekly Contest 438,"combinatorics, math, number theory, simulation, string"
"Dec. 22, 2024",3396,Minimum Number of Operations to Make E…lements in Array Distinct,667,https://leetcode.com/problems/minimum-number-of-operations-to-make-elements-in-array-distinct/,Weekly Contest 429,
"Nov. 10, 2024",3349,Adjacent Increasing Subarrays Detection I,623,https://leetcode.com/problems/adjacent-increasing-subarrays-detection-i/,Weekly Contest 423,array
"Sept. 22, 2024",3295,Report Spam Message,614,https://leetcode.com/problems/report-spam-message/,Weekly Contest 416,"array, hash table, string"
"Sept. 8, 2024",3280,Convert Date to Binary,600,https://leetcode.com/problems/convert-date-to-binary/,Weekly Contest 414,"math, string"
"Sept. 1, 2024",3274,Check if Two Chessboard Sq…uares Have the Same Color,610,https://leetcode.com/problems/check-if-two-chessboard-squares-have-the-same-color/,Weekly Contest 413,"math, string"
"Aug. 17, 2024",3254,Find the Power of K-Size Subarrays I,620,https://leetcode.com/problems/find-the-power-of-k-size-subarrays-i/,Biweekly Contest 137,"array, sliding window"
"July 20, 2024",3222,Find the Winning Player in Coin Game,684,https://leetcode.com/problems/find-the-winning-player-in-coin-game/,Biweekly Contest 135,"game theory, math, simulation"
"July 7, 2024",3210,Find the Encrypted String,656,https://leetcode.com/problems/find-the-encrypted-string/,Weekly Contest 405,string
"July 6, 2024",3206,Alternating Groups I,614,https://leetcode.com/problems/alternating-groups-i/,Biweekly Contest 134,"array, sliding window"
"June 23, 2024",3194,Minimum Average of Smallest and Largest Elements,631,https://leetcode.com/problems/minimum-average-of-smallest-and-largest-elements/,Weekly Contest 403,"array, sorting, two pointers"
"June 22, 2024",3190,Find Minimum Operations to Make All El…ements Divisible by Three,618,https://leetcode.com/problems/find-minimum-operations-to-make-all-elements-divisible-by-three/,Biweekly Contest 133,"array, math"
"June 16, 2024",3184,Count Pairs That Form a Complete Day I,678,https://leetcode.com/problems/count-pairs-that-form-a-complete-day-i/,Weekly Contest 402,"array, counting, hash table"
"June 2, 2024",3168,Minimum Number of Chairs in a Waiting Room,677,https://leetcode.com/problems/minimum-number-of-chairs-in-a-waiting-room/,Weekly Contest 400,"simulation, string"
"May 26, 2024",3162,Find the Number of Good Pairs I,645,https://leetcode.com/problems/find-the-number-of-good-pairs-i/,Weekly Contest 399,"array, hash table"
"May 19, 2024",3151,Special Array I,631,https://leetcode.com/problems/special-array-i/,Weekly Contest 398,array
"May 11, 2024",3142,Check if Grid Satisfies Conditions,621,https://leetcode.com/problems/check-if-grid-satisfies-conditions/,Biweekly Contest 130,"array, matrix"
"March 31, 2024",3099,Harshad Number,635,https://leetcode.com/problems/harshad-number/,Weekly Contest 391,math
"March 3, 2024",3069,Distribute Elements Into Two Arrays I,670,https://leetcode.com/problems/distribute-elements-into-two-arrays-i/,Weekly Contest 387,"array, simulation"
"March 2, 2024",3065,Minimum Operations to Exceed Threshold Value I,638,https://leetcode.com/problems/minimum-operations-to-exceed-threshold-value-i/,Biweekly Contest 125,array
"Feb. 17, 2024",3038,Maximum Number of Operations With the Same Score I,688,https://leetcode.com/problems/maximum-number-of-operations-with-the-same-score-i/,Biweekly Contest 124,"array, simulation"
"Feb. 11, 2024",3033,Modify the Matrix,674,https://leetcode.com/problems/modify-the-matrix/,Weekly Contest 384,"array, matrix"
"Dec. 31, 2023",2980,Check if Bitwise OR Has Trailing Zeros,668,https://leetcode.com/problems/check-if-bitwise-or-has-trailing-zeros/,Weekly Contest 378,"array, bit manipulation"
"Dec. 9, 2023",2956,Find Common Elements Between Two Arrays,680,https://leetcode.com/problems/find-common-elements-between-two-arrays/,Biweekly Contest 119,"array, hash table"
"Nov. 25, 2023",2942,Find Words Containing Character,614,https://leetcode.com/problems/find-words-containing-character/,Biweekly Contest 118,"array, string"
"Nov. 5, 2023",2923,Find Champion I,662,https://leetcode.com/problems/find-champion-i/,Weekly Contest 370,"array, matrix"
"Oct. 8, 2023",2889,Reshape Data: Pivot,671,https://leetcode.com/problems/reshape-data-pivot/,,pandas
"Oct. 8, 2023",2888,Reshape Data: Concatenate,679,https://leetcode.com/problems/reshape-data-concatenate/,,pandas
"Oct. 8, 2023",2886,Change Data Type,687,https://leetcode.com/problems/change-data-type/,,pandas
"Oct. 8, 2023",2884,Modify Columns,679,https://leetcode.com/problems/modify-columns/,,pandas
"Oct. 8, 2023",2881,Create a New Column,679,https://leetcode.com/problems/create-a-new-column/,,pandas
"Aug. 20, 2023",2828,Check if a String Is an Acronym of Words,679,https://leetcode.com/problems/check-if-a-string-is-an-acronym-of-words/,Weekly Contest 359,"array, string"
"Aug. 19, 2023",2824,Count Pairs Whose Sum is Less than Target,622,https://leetcode.com/problems/count-pairs-whose-sum-is-less-than-target/,Biweekly Contest 111,"array, binary search, sorting, two pointers"
"July 30, 2023",2798,Number of Employees Who Met the Target,607,https://leetcode.com/problems/number-of-employees-who-met-the-target/,Weekly Contest 356,array
"July 16, 2023",2778,Sum of Squares of Special Elements,658,https://leetcode.com/problems/sum-of-squares-of-special-elements/,Weekly Contest 354,"array, enumeration"
"June 24, 2023",2744,Find Maximum Number of String Pairs,667,https://leetcode.com/problems/find-maximum-number-of-string-pairs/,Biweekly Contest 107,"array, hash table, simulation, string"
"May 7, 2023",2667,Create Hello World Function,607,https://leetcode.com/problems/create-hello-world-function/,,javascript
"May 7, 2023",2666,Allow One Function Call,662,https://leetcode.com/problems/allow-one-function-call/,,javascript
"April 29, 2023",2656,Maximum Sum With Exactly K Elements,695,https://leetcode.com/problems/maximum-sum-with-exactly-k-elements/,Biweekly Contest 103,"array, greedy"
"April 23, 2023",2651,Calculate Delayed Arrival Time,699,https://leetcode.com/problems/calculate-delayed-arrival-time/,Weekly Contest 342,math
"April 15, 2023",2635,Apply Transform Over Each Element in Array,678,https://leetcode.com/problems/apply-transform-over-each-element-in-array/,,javascript
"April 15, 2023",2634,Filter Elements from Array,633,https://leetcode.com/problems/filter-elements-from-array/,,javascript
"April 15, 2023",2629,Function Composition,651,https://leetcode.com/problems/function-composition/,,javascript
"April 15, 2023",2626,Array Reduce Transformation,641,https://leetcode.com/problems/array-reduce-transformation/,,javascript
"April 15, 2023",2621,Sleep,669,https://leetcode.com/problems/sleep/,,javascript
"Feb. 26, 2023",2574,Left and Right Sum Differences,671,https://leetcode.com/problems/left-and-right-sum-differences/,Weekly Contest 334,"array, prefix sum"
"Jan. 15, 2023",2535,Difference Between Element Sum …and Digit Sum of an Array,618,https://leetcode.com/problems/difference-between-element-sum-and-digit-sum-of-an-array/,Weekly Contest 328,"array, math"
"Jan. 1, 2023",2520,Count the Digits That Divide a Number,643,https://leetcode.com/problems/count-the-digits-that-divide-a-number/,Weekly Contest 326,math
"Nov. 13, 2022",2469,Convert the Temperature,611,https://leetcode.com/problems/convert-the-temperature/,Weekly Contest 319,math
"Oct. 30, 2022",2455,Average Value of Even Numbers Th…at Are Divisible by Three,635,https://leetcode.com/problems/average-value-of-even-numbers-that-are-divisible-by-three/,Weekly Contest 317,"array, math"
"Sept. 18, 2022",2413,Smallest Even Multiple,679,https://leetcode.com/problems/smallest-even-multiple/,Weekly Contest 311,"math, number theory"
"Aug. 7, 2022",2367,Number of Arithmetic Triplets,633,https://leetcode.com/problems/number-of-arithmetic-triplets/,Weekly Contest 305,"array, enumeration, hash table, two pointers"
"Aug. 6, 2022",2363,Merge Similar Items,611,https://leetcode.com/problems/merge-similar-items/,Biweekly Contest 84,"array, hash table, ordered set, sorting"
"July 31, 2022",2357,Make Array Zero by Subtracting Equal Amounts,618,https://leetcode.com/problems/make-array-zero-by-subtracting-equal-amounts/,Weekly Contest 304,"array, greedy, hash table, heap (priority queue), simulation, sorting"
"June 12, 2022",2303,Calculate Amount Paid in Taxes,664,https://leetcode.com/problems/calculate-amount-paid-in-taxes/,Weekly Contest 297,"array, simulation"
"June 11, 2022",2299,Strong Password Checker II,617,https://leetcode.com/problems/strong-password-checker-ii/,Biweekly Contest 80,string
"May 28, 2022",2283,Check if Number Has Equal Di…git Count and Digit Value,649,https://leetcode.com/problems/check-if-number-has-equal-digit-count-and-digit-value/,Biweekly Contest 79,"counting, hash table, string"
"May 8, 2022",2264,Largest 3-Same-Digit Number in String,639,https://leetcode.com/problems/largest-3-same-digit-number-in-string/,Weekly Contest 292,string
