Date,Problem Number,Problem Name,Problem Rating,Problem Link,Contest Name,Tags
"Sept. 7, 2025",3676,Count Bowl Subarrays,1832.0,https://leetcode.com/problems/count-bowl-subarrays/,Weekly Contest 466,
"Aug. 30, 2025",3665,Twisted Mirror Path Count,1878.0,https://leetcode.com/problems/twisted-mirror-path-count/,Biweekly Contest 164,
"Aug. 16, 2025",3650,Minimum Cost Path with Edge Reversals,1806.0,https://leetcode.com/problems/minimum-cost-path-with-edge-reversals/,Biweekly Contest 163,
"Aug. 3, 2025",3639,Minimum Time to Activate String,1850.0,https://leetcode.com/problems/minimum-time-to-activate-string/,Weekly Contest 461,
"Aug. 2, 2025",3635,Earliest Finish Time for Land and Water Rides II,1848.0,https://leetcode.com/problems/earliest-finish-time-for-land-and-water-rides-ii/,Biweekly Contest 162,
"July 19, 2025",3620,Network Recovery Pathways,1865.0,https://leetcode.com/problems/network-recovery-pathways/,Biweekly Contest 161,
"July 6, 2025",3608,Minimum Time for K Connected Components,1808.0,https://leetcode.com/problems/minimum-time-for-k-connected-components/,Weekly Contest 457,"binary search, graph, sorting, union find"
"June 29, 2025",3599,Partition Array to Minimize XOR,1893.0,https://leetcode.com/problems/partition-array-to-minimize-xor/,Weekly Contest 456,"array, bit manipulation, dynamic programming, prefix sum"
"June 26, 2025",3596,Minimum Cost Path with Alternating Directions I,1897.0,https://leetcode.com/problems/minimum-cost-path-with-alternating-directions-i/,,"brainteaser, math"
yesterday,3565,Sequential Grid Path Cover,1885.0,https://leetcode.com/problems/sequential-grid-path-cover/,,
"May 10, 2025",3542,Minimum Operations to Convert All Elements to Zero,1885.0,https://leetcode.com/problems/minimum-operations-to-convert-all-elements-to-zero/,Biweekly Contest 156,"array, greedy, hash table, monotonic stack, stack"
yesterday,3540,Minimum Time to Visit All Houses,1874.0,https://leetcode.com/problems/minimum-time-to-visit-all-houses/,,
yesterday,3520,Minimum Threshold for Inversion Pairs Count,1899.0,https://leetcode.com/problems/minimum-threshold-for-inversion-pairs-count/,,
"April 12, 2025",3514,Number of Unique XOR Triplets II,1863.0,https://leetcode.com/problems/number-of-unique-xor-triplets-ii/,Biweekly Contest 154,"array, bit manipulation, enumeration, math"
"March 2, 2025",3472,Longest Palindromic Subsequence A…fter at Most K Operations,1807.0,https://leetcode.com/problems/longest-palindromic-subsequence-after-at-most-k-operations/,Weekly Contest 439,"dynamic programming, string"
"Feb. 2, 2025",3443,Maximum Manhattan Distance After K Changes,1802.0,https://leetcode.com/problems/maximum-manhattan-distance-after-k-changes/,Weekly Contest 435,"counting, hash table, math, string"
"Dec. 1, 2024",3372,Maximize the Number of Target Nodes …After Connecting Trees I,1879.0,https://leetcode.com/problems/maximize-the-number-of-target-nodes-after-connecting-trees-i/,Weekly Contest 426,"breadth-first search, depth-first search, tree"
