Date,Problem Number,Problem Name,Problem Rating,Problem Link,Contest Name,Tags
"Aug. 16, 2025",3648,Minimum Sensors to Cover Grid,907.0,https://leetcode.com/problems/minimum-sensors-to-cover-grid/,Biweekly Contest 163,
"May 24, 2025",3556,Sum of Largest Prime Substrings,963.0,https://leetcode.com/problems/sum-of-largest-prime-substrings/,Biweekly Contest 157,"hash table, math, number theory, sorting, string"
"Jan. 4, 2025",3407,Substring Matching Pattern,923.0,https://leetcode.com/problems/substring-matching-pattern/,Biweekly Contest 147,"string, string matching"
"Dec. 7, 2024",3375,Minimum Operations to Make Array Values Equal to K,980.0,https://leetcode.com/problems/minimum-operations-to-make-array-values-equal-to-k/,Biweekly Contest 145,"array, hash table"
"Oct. 20, 2024",3324,Find the Sequence of Strin…gs Appeared on the Screen,910.0,https://leetcode.com/problems/find-the-sequence-of-strings-appeared-on-the-screen/,Weekly Contest 420,"simulation, string"
"June 30, 2024",3200,Maximum Height of a Triangle,909.0,https://leetcode.com/problems/maximum-height-of-a-triangle/,Weekly Contest 404,"array, enumeration"
"April 14, 2024",3115,Maximum Prime Difference,985.0,https://leetcode.com/problems/maximum-prime-difference/,Weekly Contest 393,"array, math, number theory"
"April 14, 2024",3114,Latest Time You Can Obtain A…fter Replacing Characters,992.0,https://leetcode.com/problems/latest-time-you-can-obtain-after-replacing-characters/,Weekly Contest 393,"enumeration, string"
"March 30, 2024",3095,Shortest Subarray With OR at Least K I,927.0,https://leetcode.com/problems/shortest-subarray-with-or-at-least-k-i/,Biweekly Contest 127,"array, bit manipulation, sliding window"
"March 2, 2024",3063,Linked List Frequency,946.0,https://leetcode.com/problems/linked-list-frequency/,,"counting, hash table, linked list"
"March 2, 2024",3062,Winner of the Linked List Game,977.0,https://leetcode.com/problems/winner-of-the-linked-list-game/,,linked list
"Feb. 11, 2024",3032,Count Numbers With Unique Digits II,987.0,https://leetcode.com/problems/count-numbers-with-unique-digits-ii/,,"dynamic programming, hash table, math"
"Nov. 19, 2023",2937,Make Three Strings Equal,990.0,https://leetcode.com/problems/make-three-strings-equal/,Weekly Contest 372,string
"Nov. 11, 2023",2928,Distribute Candies Among Children I,945.0,https://leetcode.com/problems/distribute-candies-among-children-i/,Biweekly Contest 117,"combinatorics, enumeration, math"
