Date,Problem Number,Problem Name,Problem Rating,Problem Link,Contest Name,Tags
"April 6, 2025",3508,Implement Router,1777,https://leetcode.com/problems/implement-router/,Weekly Contest 444,
"March 29, 2025",3499,Maximize Active Section with Trade I,1716,https://leetcode.com/problems/maximize-active-section-with-trade-i/,Biweekly Contest 153,
"Feb. 15, 2025",3453,Separate Squares I,1730,https://leetcode.com/problems/separate-squares-i/,Biweekly Contest 150,"array, binary search"
"Feb. 1, 2025",3439,Reschedule Meetings for Maximum Free Time I,1718,https://leetcode.com/problems/reschedule-meetings-for-maximum-free-time-i/,Biweekly Contest 149,"array, greedy, sliding window"
"Jan. 26, 2025",3433,Count Mentions Per User,1703,https://leetcode.com/problems/count-mentions-per-user/,Weekly Contest 434,"array, math, simulation, sorting"
"Jan. 12, 2025",3418,Maximum Amount of Money Robot Can Earn,1773,https://leetcode.com/problems/maximum-amount-of-money-robot-can-earn/,Weekly Contest 432,"array, dynamic programming, matrix"
"Jan. 4, 2025",3408,Design Task Manager,1702,https://leetcode.com/problems/design-task-manager/,Biweekly Contest 147,"design, hash table, heap (priority queue), ordered set"
"Dec. 29, 2024",3403,Find the Lexicographically Larg…est String From the Box I,1727,https://leetcode.com/problems/find-the-lexicographically-largest-string-from-the-box-i/,Weekly Contest 430,
"Dec. 8, 2024",3380,Maximum Area Rectangle With Point Constraints I,1704,https://leetcode.com/problems/maximum-area-rectangle-with-point-constraints-i/,Weekly Contest 427,"array, binary indexed tree, enumeration, geometry, math, segment tree, sorting"
"Nov. 3, 2024",3342,Find Minimum Time to Reach Last Room II,1792,https://leetcode.com/problems/find-minimum-time-to-reach-last-room-ii/,Weekly Contest 422,"array, graph, heap (priority queue), matrix, shortest path"
"Oct. 26, 2024",3332,Maximum Points Tourist Can Earn,1785,https://leetcode.com/problems/maximum-points-tourist-can-earn/,Biweekly Contest 142,"array, dynamic programming, matrix"
"Oct. 20, 2024",3326,Minimum Division Operations to …Make Array Non Decreasing,1794,https://leetcode.com/problems/minimum-division-operations-to-make-array-non-decreasing/,Weekly Contest 420,"array, greedy, math, number theory"
"Sept. 22, 2024",3297,Count Substrings That Can Be Rearran…ged to Contain a String I,1780,https://leetcode.com/problems/count-substrings-that-can-be-rearranged-to-contain-a-string-i/,Weekly Contest 416,"hash table, sliding window, string"
"Sept. 8, 2024",3282,Reach End of Array With Max Score,1719,https://leetcode.com/problems/reach-end-of-array-with-max-score/,Weekly Contest 414,"array, greedy"
