Date,Problem Number,Problem Name,Problem Rating,Problem Link,Contest Name,Tags
"May 11, 2025",3547,Maximum Sum of Edge Values in a Graph,2365.0,https://leetcode.com/problems/maximum-sum-of-edge-values-in-a-graph/,Weekly Contest 449,"depth-first search, graph, greedy, sorting"
"April 13, 2025",3518,Smallest Palindromic Rearrangement II,2307.0,https://leetcode.com/problems/smallest-palindromic-rearrangement-ii/,Weekly Contest 445,"combinatorics, counting, hash table, math, string"
"March 30, 2025",3504,Longest Palindrome After S…ubstring Concatenation II,2381.0,https://leetcode.com/problems/longest-palindrome-after-substring-concatenation-ii/,Weekly Contest 443,"dynamic programming, string, two pointers"
"Feb. 9, 2025",3448,Count Substrings Divisible By Last Digit,2378.0,https://leetcode.com/problems/count-substrings-divisible-by-last-digit/,Weekly Contest 436,"dynamic programming, string"
"Feb. 2, 2025",3444,Minimum Increments for Tar…get Multiples in an Array,2346.0,https://leetcode.com/problems/minimum-increments-for-target-multiples-in-an-array/,Weekly Contest 435,"array, bit manipulation, bitmask, dynamic programming, math, number theory"
"Jan. 5, 2025",3413,Maximum Coins From K Consecutive Bags,2377.0,https://leetcode.com/problems/maximum-coins-from-k-consecutive-bags/,Weekly Contest 431,"array, binary search, greedy, prefix sum, sliding window, sorting"
"Dec. 22, 2024",3399,Smallest Substring With Identical Characters II,2382.0,https://leetcode.com/problems/smallest-substring-with-identical-characters-ii/,Weekly Contest 429,
"Dec. 22, 2024",3398,Smallest Substring With Identical Characters I,2307.0,https://leetcode.com/problems/smallest-substring-with-identical-characters-i/,Weekly Contest 429,
"Dec. 15, 2024",3388,Count Beautiful Splits in an Array,2342.0,https://leetcode.com/problems/count-beautiful-splits-in-an-array/,Weekly Contest 428,"array, dynamic programming"
"Oct. 27, 2024",3336,Find the Number of Subsequences With Equal GCD,2376.0,https://leetcode.com/problems/find-the-number-of-subsequences-with-equal-gcd/,Weekly Contest 421,"array, dynamic programming, math, number theory"
