Date,Problem Number,Problem Name,Problem Rating,Problem Link,Contest Name,Tags
"Aug. 17, 2025",3654,Minimum Sum After Divisible Sum Deletions,2007.0,https://leetcode.com/problems/minimum-sum-after-divisible-sum-deletions/,Weekly Contest 463,
"Aug. 10, 2025",3645,Maximum Total from Optimal Activation Order,2032.0,https://leetcode.com/problems/maximum-total-from-optimal-activation-order/,Weekly Contest 462,
"July 24, 2025",3626,Find Stores with Inventory Imbalance,2054.0,https://leetcode.com/problems/find-stores-with-inventory-imbalance/,,database
"July 20, 2025",3624,Number of Integers With Pop…count-Depth Equal to K II,2043.0,https://leetcode.com/problems/number-of-integers-with-popcount-depth-equal-to-k-ii/,Weekly Contest 459,
"July 7, 2025",3610,Minimum Number of Primes to Sum to Target,2002.0,https://leetcode.com/problems/minimum-number-of-primes-to-sum-to-target/,,
yesterday,3601,Find Drivers with Improved Fuel Efficiency,2085.0,https://leetcode.com/problems/find-drivers-with-improved-fuel-efficiency/,,database
"June 1, 2025",3568,Minimum Moves to Clean the Classroom,2042.0,https://leetcode.com/problems/minimum-moves-to-clean-the-classroom/,Weekly Contest 452,"array, bit manipulation, breadth-first search, hash table, matrix"
"May 24, 2025",3559,Number of Ways to Assign Edge Weights II,2024.0,https://leetcode.com/problems/number-of-ways-to-assign-edge-weights-ii/,Biweekly Contest 157,"array, depth-first search, dynamic programming, math, tree"
"May 18, 2025",3552,Grid Teleportation Traversal,2015.0,https://leetcode.com/problems/grid-teleportation-traversal/,Weekly Contest 450,"array, breadth-first search, hash table, matrix"
yesterday,3535,Unit Conversion II,2027.0,https://leetcode.com/problems/unit-conversion-ii/,,
"April 26, 2025",3529,Count Cells in Overlapping Horizonta…l and Vertical Substrings,2084.0,https://leetcode.com/problems/count-cells-in-overlapping-horizontal-and-vertical-substrings/,Biweekly Contest 155,
"March 23, 2025",3494,Find the Minimum Amount of Time to Brew Potions,2033.0,https://leetcode.com/problems/find-the-minimum-amount-of-time-to-brew-potions/,Weekly Contest 442,"array, prefix sum, simulation"
today,3489,Zero Array Transformation IV,2025.0,https://leetcode.com/problems/zero-array-transformation-iv/,Weekly Contest 441,
"Feb. 1, 2025",3440,Reschedule Meetings for Maximum Free Time II,2011.0,https://leetcode.com/problems/reschedule-meetings-for-maximum-free-time-ii/,Biweekly Contest 149,"array, enumeration, greedy"
"Jan. 26, 2025",3434,Maximum Frequency After Subarray Operation,2093.0,https://leetcode.com/problems/maximum-frequency-after-subarray-operation/,Weekly Contest 434,"array, dynamic programming, greedy, hash table, prefix sum"
"Jan. 19, 2025",3428,Maximum and Minimum Sums of at …Most Size K Subsequences,2036.0,https://leetcode.com/problems/maximum-and-minimum-sums-of-at-most-size-k-subsequences/,Weekly Contest 433,"array, combinatorics, dynamic programming, math, sorting"
"Jan. 16, 2025",3422,Minimum Operations to Make Subarray Elements Equal,2047.0,https://leetcode.com/problems/minimum-operations-to-make-subarray-elements-equal/,,"array, hash table, heap (priority queue), math, sliding window"
"Dec. 7, 2024",3377,Digit Operations to Make Two Integers Equal,2070.0,https://leetcode.com/problems/digit-operations-to-make-two-integers-equal/,Biweekly Contest 145,"graph, heap (priority queue), math, number theory, shortest path"
"Nov. 24, 2024",3366,Minimum Array Sum,2040.0,https://leetcode.com/problems/minimum-array-sum/,Weekly Contest 425,
"Nov. 10, 2024",3351,Sum of Good Subsequences,2091.0,https://leetcode.com/problems/sum-of-good-subsequences/,Weekly Contest 423,"array, dynamic programming, hash table"
"Nov. 8, 2024",3344,Maximum Sized Array,2041.0,https://leetcode.com/problems/maximum-sized-array/,,"binary search, bit manipulation"
"Oct. 29, 2024",3338,Second Highest Salary II,2039.0,https://leetcode.com/problems/second-highest-salary-ii/,,database
"Oct. 26, 2024",3331,Find Subtree Sizes After Changes,2027.0,https://leetcode.com/problems/find-subtree-sizes-after-changes/,Biweekly Contest 142,"array, depth-first search, hash table, string, tree"
"Oct. 15, 2024",3323,Minimize Connected Groups by Inserting Interval,2041.0,https://leetcode.com/problems/minimize-connected-groups-by-inserting-interval/,,"array, binary search, sliding window, sorting"
