Date,Problem Number,Problem Name,Problem Rating,Problem Link,Contest Name,Tags
"March 30, 2025",3503,Longest Palindrome After Substring Concatenation I,1477,https://leetcode.com/problems/longest-palindrome-after-substring-concatenation-i/,Weekly Contest 443,"dynamic programming, enumeration, string, two pointers"
yesterday,3484,Design Spreadsheet,1402,https://leetcode.com/problems/design-spreadsheet/,Biweekly Contest 152,
"March 1, 2025",3468,Find the Number of Copy Arrays,1476,https://leetcode.com/problems/find-the-number-of-copy-arrays/,Biweekly Contest 151,"array, math"
"Jan. 18, 2025",3424,Minimum Cost to Make Arrays Identical,1481,https://leetcode.com/problems/minimum-cost-to-make-arrays-identical/,Biweekly Contest 148,"array, greedy, sorting"
"Jan. 5, 2025",3412,Find Mirror Score of a String,1424,https://leetcode.com/problems/find-mirror-score-of-a-string/,Weekly Contest 431,"hash table, simulation, stack, string"
"Nov. 23, 2024",3361,Shift Distance Between Two Strings,1445,https://leetcode.com/problems/shift-distance-between-two-strings/,Biweekly Contest 144,
"Nov. 17, 2024",3355,Zero Array Transformation I,1480,https://leetcode.com/problems/zero-array-transformation-i/,Weekly Contest 424,"array, prefix sum"
"Oct. 13, 2024",3319,K-th Largest Perfect Subtree Size in Binary Tree,1415,https://leetcode.com/problems/k-th-largest-perfect-subtree-size-in-binary-tree/,Weekly Contest 419,"binary tree, depth-first search, sorting, tree"
"Sept. 29, 2024",3305,Count of Substrings Containing Every …Vowel and K Consonants I,1467,https://leetcode.com/problems/count-of-substrings-containing-every-vowel-and-k-consonants-i/,Weekly Contest 417,"hash table, sliding window, string"
"Aug. 4, 2024",3243,Shortest Distance After Road Addition Queries I,1470,https://leetcode.com/problems/shortest-distance-after-road-addition-queries-i/,Weekly Contest 409,"array, breadth-first search, graph"
"July 28, 2024",3233,Find the Count of Numbers Which Are Not Special,1435,https://leetcode.com/problems/find-the-count-of-numbers-which-are-not-special/,Weekly Contest 408,"array, math, number theory"
"May 25, 2024",3160,Find the Number of Distinct Colors Among the Balls,1447,https://leetcode.com/problems/find-the-number-of-distinct-colors-among-the-balls/,Biweekly Contest 131,"array, hash table, simulation"
"May 19, 2024",3152,Special Array II,1470,https://leetcode.com/problems/special-array-ii/,Weekly Contest 398,"array, binary search, prefix sum"
"April 7, 2024",3106,Lexicographically Smallest String After O…perations With Constraint,1436,https://leetcode.com/problems/lexicographically-smallest-string-after-operations-with-constraint/,Weekly Contest 392,"greedy, string"
"March 3, 2024",3070,Count Submatrices with Top-Left El…ement and Sum Less Than k,1436,https://leetcode.com/problems/count-submatrices-with-top-left-element-and-sum-less-than-k/,Weekly Contest 387,"array, matrix, prefix sum"
"Jan. 21, 2024",3016,Minimum Number of Pushes to Type Word II,1402,https://leetcode.com/problems/minimum-number-of-pushes-to-type-word-ii/,Weekly Contest 381,"counting, greedy, hash table, sorting, string"
"Dec. 31, 2023",2981,Find Longest Special Subst…ring That Occurs Thrice I,1403,https://leetcode.com/problems/find-longest-special-substring-that-occurs-thrice-i/,Weekly Contest 378,"binary search, counting, hash table, sliding window, string"
"Dec. 9, 2023",2958,Length of Longest Subarray …With at Most K Frequency,1468,https://leetcode.com/problems/length-of-longest-subarray-with-at-most-k-frequency/,Biweekly Contest 119,"array, hash table, sliding window"
"Nov. 12, 2023",2933,High-Access Employees,1426,https://leetcode.com/problems/high-access-employees/,Weekly Contest 371,"array, hash table, sorting, string"
"Oct. 15, 2023",2904,Shortest and Lexicographically …Smallest Beautiful String,1413,https://leetcode.com/problems/shortest-and-lexicographically-smallest-beautiful-string/,Weekly Contest 367,"sliding window, string"
"Sept. 24, 2023",2865,Beautiful Towers I,1436,https://leetcode.com/problems/beautiful-towers-i/,Weekly Contest 364,"array, monotonic stack, stack"
"Sept. 10, 2023",2849,Determine if a Cell Is Reachable at a Given Time,1413,https://leetcode.com/problems/determine-if-a-cell-is-reachable-at-a-given-time/,Weekly Contest 362,math
