Date,Problem Number,Problem Name,Problem Rating,Problem Link,Contest Name,Tags
"March 23, 2025",3495,Minimum Operations to Make Array Elements Zero,2216,https://leetcode.com/problems/minimum-operations-to-make-array-elements-zero/,Weekly Contest 442,"array, bit manipulation, math"
yesterday,3485,Longest Common Prefix of K Strings After Removal,2244,https://leetcode.com/problems/longest-common-prefix-of-k-strings-after-removal/,Biweekly Contest 152,
"March 2, 2025",3473,Sum of K Subarrays With Length at Least M,2251,https://leetcode.com/problems/sum-of-k-subarrays-with-length-at-least-m/,Weekly Contest 439,"array, dynamic programming, prefix sum"
"Feb. 23, 2025",3463,Check If Digits Are Equal in S…tring After Operations II,2298,https://leetcode.com/problems/check-if-digits-are-equal-in-string-after-operations-ii/,Weekly Contest 438,"combinatorics, math, number theory, string"
"Feb. 16, 2025",3458,Select K Disjoint Special Substrings,2238,https://leetcode.com/problems/select-k-disjoint-special-substrings/,Weekly Contest 437,"dynamic programming, greedy, hash table, sorting, string"
"Feb. 15, 2025",3455,Shortest Matching Substring,2290,https://leetcode.com/problems/shortest-matching-substring/,Biweekly Contest 150,"binary search, string, string matching, two pointers"
"Jan. 12, 2025",3419,Minimize the Maximum Edge Weight of Graph,2249,https://leetcode.com/problems/minimize-the-maximum-edge-weight-of-graph/,Weekly Contest 432,"binary search, breadth-first search, depth-first search, graph, shortest path"
"Dec. 29, 2024",3405,Count the Number of Arrays with K M…atching Adjacent Elements,2288,https://leetcode.com/problems/count-the-number-of-arrays-with-k-matching-adjacent-elements/,Weekly Contest 430,
"Sept. 29, 2024",3307,Find the K-th Character in String Game II,2229,https://leetcode.com/problems/find-the-k-th-character-in-string-game-ii/,Weekly Contest 417,"bit manipulation, math, recursion"
"Aug. 17, 2024",3256,Maximum Value Sum by Placing Three Rooks I,2278,https://leetcode.com/problems/maximum-value-sum-by-placing-three-rooks-i/,Biweekly Contest 137,"array, dynamic programming, enumeration, matrix"
"Aug. 4, 2024",3244,Shortest Distance After Road Addition Queries II,2243,https://leetcode.com/problems/shortest-distance-after-road-addition-queries-ii/,Weekly Contest 409,"array, graph, greedy, ordered set"
"June 30, 2024",3203,Find Minimum Diameter After Merging Two Trees,2257,https://leetcode.com/problems/find-minimum-diameter-after-merging-two-trees/,Weekly Contest 404,"breadth-first search, depth-first search, graph, tree"
"March 31, 2024",3102,Minimize Manhattan Distances,2250,https://leetcode.com/problems/minimize-manhattan-distances/,Weekly Contest 391,"array, geometry, math, ordered set, sorting"
"March 16, 2024",3082,Find the Sum of the Power of All Subsequences,2264,https://leetcode.com/problems/find-the-sum-of-the-power-of-all-subsequences/,Biweekly Contest 126,"array, dynamic programming"
