Date,Problem Number,Problem Name,Problem Rating,Problem Link,Contest Name,Tags
"June 1, 2025",3567,Minimum Absolute Difference in Sliding Submatrix,1392.0,https://leetcode.com/problems/minimum-absolute-difference-in-sliding-submatrix/,Weekly Contest 452,"array, matrix, sorting"
"April 20, 2025",3523,Make Array Non-decreasing,1314.0,https://leetcode.com/problems/make-array-non-decreasing/,Weekly Contest 446,
"Feb. 23, 2025",3462,Maximum Sum With at Most K Elements,1334.0,https://leetcode.com/problems/maximum-sum-with-at-most-k-elements/,Weekly Contest 438,"array, greedy, heap (priority queue), matrix, sorting"
"Dec. 7, 2024",3376,Minimum Time to Break Locks I,1316.0,https://leetcode.com/problems/minimum-time-to-break-locks-i/,Biweekly Contest 145,"array, backtracking, bit manipulation, bitmask, dynamic programming"
"Nov. 24, 2024",3365,Rearrange K Substrings to Form Target String,1398.0,https://leetcode.com/problems/rearrange-k-substrings-to-form-target-string/,Weekly Contest 425,
"Oct. 20, 2024",3325,Count Substrings With K-Frequency Characters I,1318.0,https://leetcode.com/problems/count-substrings-with-k-frequency-characters-i/,Weekly Contest 420,"hash table, sliding window, string"
"Sept. 28, 2024",3301,Maximize the Total Height of Unique Towers,1387.0,https://leetcode.com/problems/maximize-the-total-height-of-unique-towers/,Biweekly Contest 140,"array, greedy, sorting"
"Sept. 1, 2024",3275,K-th Nearest Obstacle Queries,1353.0,https://leetcode.com/problems/k-th-nearest-obstacle-queries/,Weekly Contest 413,"array, heap (priority queue)"
"Aug. 18, 2024",3259,Maximum Energy Boost From Two Drinks,1367.0,https://leetcode.com/problems/maximum-energy-boost-from-two-drinks/,Weekly Contest 411,"array, dynamic programming"
"July 21, 2024",3227,Vowels Game in a String,1347.0,https://leetcode.com/problems/vowels-game-in-a-string/,Weekly Contest 407,"brainteaser, game theory, math, string"
"July 20, 2024",3223,Minimum Length of String After Operations,1325.0,https://leetcode.com/problems/minimum-length-of-string-after-operations/,Biweekly Contest 135,"counting, hash table, string"
"June 22, 2024",3192,Minimum Operations to Make Binary Array …Elements Equal to One II,1362.0,https://leetcode.com/problems/minimum-operations-to-make-binary-array-elements-equal-to-one-ii/,Biweekly Contest 133,"array, dynamic programming, greedy"
"June 8, 2024",3175,Find The First Player to win K Games in a Row,1399.0,https://leetcode.com/problems/find-the-first-player-to-win-k-games-in-a-row/,Biweekly Contest 132,"array, simulation"
"June 2, 2024",3169,Count Days Without Meetings,1382.0,https://leetcode.com/problems/count-days-without-meetings/,Weekly Contest 400,"array, sorting"
"May 12, 2024",3147,Taking Maximum Energy From the Mystic Dungeon,1374.0,https://leetcode.com/problems/taking-maximum-energy-from-the-mystic-dungeon/,Weekly Contest 397,"array, prefix sum"
"May 5, 2024",3137,Minimum Number of Operation…s to Make Word K-Periodic,1379.0,https://leetcode.com/problems/minimum-number-of-operations-to-make-word-k-periodic/,Weekly Contest 396,"counting, hash table, string"
"April 27, 2024",3128,Right Triangles,1396.0,https://leetcode.com/problems/right-triangles/,Biweekly Contest 129,"array, combinatorics, counting, hash table, math"
"April 13, 2024",3111,Minimum Rectangles to Cover Points,1308.0,https://leetcode.com/problems/minimum-rectangles-to-cover-points/,Biweekly Contest 128,"array, greedy, sorting"
"March 31, 2024",3101,Count Alternating Subarrays,1331.0,https://leetcode.com/problems/count-alternating-subarrays/,Weekly Contest 391,"array, math"
"March 30, 2024",3096,Minimum Levels to Gain More Points,1321.0,https://leetcode.com/problems/minimum-levels-to-gain-more-points/,Biweekly Contest 127,"array, prefix sum"
"March 24, 2024",3091,Apply Operations to Make Sum of Array G…reater Than or Equal to k,1395.0,https://leetcode.com/problems/apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k/,Weekly Contest 390,"enumeration, greedy, math"
"March 2, 2024",3066,Minimum Operations to Exceed Threshold Value II,1323.0,https://leetcode.com/problems/minimum-operations-to-exceed-threshold-value-ii/,Biweekly Contest 125,"array, heap (priority queue), simulation"
"March 2, 2024",3053,Classifying Triangles by Lengths,1315.0,https://leetcode.com/problems/classifying-triangles-by-lengths/,,database
"Feb. 17, 2024",3039,Apply Operations to Make String Empty,1331.0,https://leetcode.com/problems/apply-operations-to-make-string-empty/,Biweekly Contest 124,"array, counting, hash table, sorting"
"Jan. 20, 2024",3011,Find if Array Can Be Sorted,1374.0,https://leetcode.com/problems/find-if-array-can-be-sorted/,Biweekly Contest 122,"array, bit manipulation, sorting"
"Jan. 14, 2024",3006,Find Beautiful Indices in the Given Array I,1379.0,https://leetcode.com/problems/find-beautiful-indices-in-the-given-array-i/,Weekly Contest 380,"binary search, hash function, rolling hash, string, string matching, two pointers"
"Jan. 6, 2024",2997,Minimum Number of Operations to …Make Array XOR Equal to K,1346.0,https://leetcode.com/problems/minimum-number-of-operations-to-make-array-xor-equal-to-k/,Biweekly Contest 121,"array, bit manipulation"
"Dec. 23, 2023",2970,Count the Number of Incremovable Subarrays I,1354.0,https://leetcode.com/problems/count-the-number-of-incremovable-subarrays-i/,Biweekly Contest 120,"array, binary search, enumeration, two pointers"
